incident_id,repository_id,split,method,gold_source_component,gold_contract_family,predicted_source_component,predicted_contract_family,source_and_contract_localization_success,file_hit_at_1,file_hit_at_3,component_precision,component_recall,component_F1,repair_set_precision,repair_set_recall,repair_set_F1,exact_repair_set_match,abstention_rate,false_localization_rate,new_critical_violation_count,full_recertification_success,project_test_pass,benchmark_fail_to_pass_available,evidence_access_count,distinct_artifacts_opened,hypothesis_count,test_rerun_count,repair_action_count,recertification_check_count,formal_operation_cost,machine_runtime_ms,predicted_repair_operation,gold_repair_operation
django__django-11583,django/django,development,B_TRACE,dependencies,ARTIFACT_PROVENANCE,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.5886359999999999,configuration_correction,artifact_regeneration
django__django-11583,django/django,development,B_RULE,dependencies,ARTIFACT_PROVENANCE,dependencies,DEPENDENCY_VERSION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,0,3.0,0.745104,dependency_pin_update,artifact_regeneration
django__django-11583,django/django,development,B_GREEDY,dependencies,ARTIFACT_PROVENANCE,dependencies,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,0.7852089999999999,artifact_regeneration,artifact_regeneration
django__django-11583,django/django,development,O_ROUTE,dependencies,ARTIFACT_PROVENANCE,dependencies,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,2.007183,artifact_regeneration,artifact_regeneration
django__django-12453,django/django,development,B_TRACE,artifact,SERIALIZATION,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.210299,configuration_correction,serialization_format_correction
django__django-12453,django/django,development,B_RULE,artifact,SERIALIZATION,artifact,DEPENDENCY_VERSION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,0,3.0,0.508034,dependency_pin_update,serialization_format_correction
django__django-12453,django/django,development,B_GREEDY,artifact,SERIALIZATION,artifact,SERIALIZATION,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,0.566684,serialization_format_correction,serialization_format_correction
django__django-12453,django/django,development,O_ROUTE,artifact,SERIALIZATION,artifact,SERIALIZATION,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,1.247348,serialization_format_correction,serialization_format_correction
django__django-13925,django/django,development,B_TRACE,model,PIPELINE_CONFIGURATION,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.283097,configuration_correction,configuration_correction
django__django-13925,django/django,development,B_RULE,model,PIPELINE_CONFIGURATION,model,PIPELINE_CONFIGURATION,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,3,3.0,0.48026,configuration_correction,configuration_correction
django__django-13925,django/django,development,B_GREEDY,model,PIPELINE_CONFIGURATION,model,PIPELINE_CONFIGURATION,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,0.456666,configuration_correction,configuration_correction
django__django-13925,django/django,development,O_ROUTE,model,PIPELINE_CONFIGURATION,model,PIPELINE_CONFIGURATION,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,0.9911399999999999,configuration_correction,configuration_correction
django__django-16816,django/django,development,B_TRACE,runtime,ARTIFACT_PROVENANCE,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.276935,configuration_correction,artifact_regeneration
django__django-16816,django/django,development,B_RULE,runtime,ARTIFACT_PROVENANCE,runtime,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,3,3.0,0.776152,artifact_regeneration,artifact_regeneration
django__django-16816,django/django,development,B_GREEDY,runtime,ARTIFACT_PROVENANCE,runtime,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,0.929814,artifact_regeneration,artifact_regeneration
django__django-16816,django/django,development,O_ROUTE,runtime,ARTIFACT_PROVENANCE,runtime,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,2.033607,artifact_regeneration,artifact_regeneration
matplotlib__matplotlib-23964,matplotlib/matplotlib,development,B_TRACE,artifact,SERIALIZATION,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.243452,configuration_correction,serialization_format_correction
