id,dissertation_ref,callable,input_schema,output_schema,tests,evidence,claim,visualization,release_artifact,status
ch2.explain_plan,"chapter 2, ExplainPlan contract",fuzzyxai.core.explain_plan:ExplainPlan,ExplainPlanMapping,ExplainPlan,tests/test_explain_plan_contract.py,reports/chapter2/explain_plan_hash.json,operator-route evidence,not required by manifest,release_evidence/chapter4_explanation_experience,PASS
ch2.explanation_object,"chapter 2, E_k",fuzzyxai.core.explanation_object:ExplanationObject,ExplanationComponents,ExplanationObject,tests/test_operator_trace.py,reports/chapter2/sample_113_report.json,operator-route evidence,operator_route,release_evidence/chapter4_explanation_experience,PASS
ch2.system_operator,"chapter 2, system operator",fuzzyxai.core.system_operator:SystemOperator,ModelSignal,ExplanationObject,tests/test_operator_trace.py,reports/chapter2/sample_113_table.csv,operator-route evidence,membership_panel,release_evidence/chapter4_explanation_experience,PASS
ch2.semantic_disagreement,"chapter 2, formula 2.30",fuzzyxai.core.trust_evaluator:semantic_disagreement,ExplanationPair,float,tests/test_semantic_disagreement_pseudometric.py,reports/chapter2/equal_raw_structure_report.json,operator-route evidence,gamma_delta_heatmap,release_evidence/chapter4_explanation_experience,PASS
ch2.alignment_synthesis,"chapter 2, algorithm 2.2",fuzzyxai.core.alignment_synthesis:synthesize_alignment,AlignmentSynthesisInput,AlignmentResultOrDiagnosticState,tests/test_alignment_synthesis.py,reports/chapter2/alignment_synthesis_report.json,operator-route evidence,operator_route,release_evidence/chapter4_explanation_experience,PASS
ch2.interpretability_loss,"chapter 2, L(E) and I(E_G)",fuzzyxai.core.trust_evaluator:interpretability_loss,InterpretabilityComponents,float,tests/test_trust.py,reports/chapter2/chapter2_breast_cancer_summary.json,operator-route evidence,gamma_delta_heatmap,release_evidence/chapter4_explanation_experience,PASS
ch2.calibration,"chapter 2, calibration constants",fuzzyxai.experiments.chapter2_calibration:run,CalibrationRun,CalibrationReport,tests/test_chapter2_chapter3_artifacts.py,reports/chapter2/calibration_report.json,operator-route evidence,calibration_constants,release_evidence/chapter4_explanation_experience,PASS
ch2.equal_raw_structure,"chapter 2, equal raw structure benchmark",fuzzyxai.experiments.chapter2_equal_raw_structure:run,BenchmarkRun,BenchmarkReport,tests/test_chapter2_chapter3_artifacts.py,reports/chapter2/equal_raw_structure_summary.csv,operator-route evidence,baseline_comparison,release_evidence/chapter4_explanation_experience,PASS
ch3.representation_hierarchy,"chapter 3, F0/F_int/F_H/F_N/F_ML",fuzzyxai.hierarchy.reductions:reduce_to_f0,FuzzyRepresentation,F0,tests/test_reductions.py,dissertation_artifacts/diagram_specs/chapter3/fig_3_2_hierarchy.json,operator-route evidence,representation_atlas,release_evidence/chapter4_explanation_experience,PASS
ch3.reduction_loss,"chapter 3, Delta",fuzzyxai.hierarchy.reductions:reduction_loss,ReductionPair,float,tests/test_reduction_approximation_theorem.py,dissertation_artifacts/diagram_specs/chapter3/fig_3_3_reduction.json,operator-route evidence,gamma_delta_heatmap,release_evidence/chapter4_explanation_experience,PASS
ch3.pareto_selection,"chapter 3, algorithm 3.1",fuzzyxai.selection.pareto_selector:select_minimal_sufficient,SituationProfileAndCandidates,CandidateOrChoiceDiagnostic,tests/test_selector.py,reports/chapter3/dataset_roles_summary.csv,operator-route evidence,representation_atlas,release_evidence/chapter4_explanation_experience,PASS
ch3.context_acceptance,"chapter 3, chi_Auto",fuzzyxai.risk.context_acceptance:observer_auto_accept_allowed,ContextAcceptanceInput,bool,tests/test_characteristic_morphism_auto.py,dissertation_artifacts/diagram_specs/chapter3/fig_3_8_chi_auto_sample113.json,operator-route evidence,action_boundary,release_evidence/chapter4_explanation_experience,PASS
ch3.certified_path,"chapter 3, CertifiedPath and Rupture",fuzzyxai.category.certified_path:CertifiedPath,CertifiedEdges,CertifiedPath,tests/test_certified_path_category.py,dissertation_artifacts/diagram_specs/chapter3/fig_3_4_route.json,operator-route evidence,operator_route,release_evidence/chapter4_explanation_experience,PASS
ch3.risk_action,"chapter 3, formulas 3.42 and 3.44",fuzzyxai.core.risk_observer:observe_risk,RiskInput,RiskResult,tests/test_critical_rupture_blocks.py,reports/chapter3/synthetic_ruptures_summary.json,operator-route evidence,risk_waterfall,release_evidence/chapter4_explanation_experience,PASS
ch3.controlled_critical_ruptures,"chapter 3, diagnostic stand",fuzzyxai.experiments.chapter3_critical_ruptures:run,CriticalRuptureRun,CriticalRuptureReport,tests/test_chapter3_critical_ruptures.py,reports/chapter3/synthetic_ruptures_results.csv,operator-route evidence,critical_ruptures_comparison,release_evidence/chapter4_explanation_experience,PASS
framework.data_quality,"chapter 4, data evidence layer",fuzzyxai.evidence.data_quality:collect_data_evidence,TabularObjectsAndReferenceProfile,DataEvidenceList,tests/test_evidence_first_framework.py,release_evidence/framework_completion/object_85_restoration_report.json,claim-grounded,data_quality_panel,release_evidence/chapter4_explanation_experience,PASS
framework.training_dynamics,"chapter 4, training observation layer",fuzzyxai.evidence.training:build_object_trace,ObjectEpochMetrics,TrainingObjectTrace,tests/test_evidence_first_framework.py,release_evidence/framework_completion/object_85_restoration_report.json,claim-grounded,training_trajectory,release_evidence/chapter4_explanation_experience,PASS
framework.object_forgetting,"chapter 4, object forgetting operator",fuzzyxai.evidence.training:find_forgetting_events,ObjectEpochMetrics,ForgettingEpochs,tests/test_evidence_first_framework.py,release_evidence/framework_completion/object_85_restoration_report.json,claim-grounded,forgetting_timeline,release_evidence/chapter4_explanation_experience,PASS
framework.subgroup_averaging,"chapter 4, rare-subtype averaging operator",fuzzyxai.evidence.training:detect_subgroup_averaging,GlobalAndSubgroupMetricHistory,SubgroupAveragingEvidenceList,tests/test_evidence_first_framework.py,release_evidence/framework_completion/object_85_restoration_report.json,claim-grounded,subgroup_performance,release_evidence/chapter4_explanation_experience,PASS
framework.rule_extraction,"chapter 4, model knowledge layer",fuzzyxai.evidence.rules:extract_rules,ModelAdapterAndFeatureNames,LearnedRuleList,tests/test_evidence_first_framework.py,release_evidence/framework_completion/object_85_user.md,claim-grounded,rule_coverage,release_evidence/chapter4_explanation_experience,PASS
framework.rule_complexity,"chapter 4, rule complexity operator",fuzzyxai.evidence.rules:rule_complexity,LearnedRule,RuleComplexityMetrics,tests/test_evidence_first_framework.py,release_evidence/framework_completion/object_85_user.md,claim-grounded,rule_complexity,release_evidence/chapter4_explanation_experience,PASS
framework.rule_significance,"chapter 4, measured rule ablation",fuzzyxai.evidence.rules:evaluate_rule_ablation,RuleAndMeasuredSplitMetrics,LearnedRule,tests/test_evidence_first_framework.py,release_evidence/framework_completion/object_85_restoration_report.json,claim-grounded,rule_importance_waterfall,release_evidence/chapter4_explanation_experience,PASS
framework.class_concept,"chapter 4, class concepts and coverage",fuzzyxai.evidence.concepts:build_class_concepts,ObjectsLabelsAndRules,ClassConceptList,tests/test_evidence_first_framework.py,release_evidence/framework_completion/object_85_user.md,claim-grounded,class_concept_map,release_evidence/chapter4_explanation_experience,PASS
framework.local_explanation,"chapter 4, local decision evidence",fuzzyxai.runtime:FuzzyXAI.explain_one,ModelObjectAndEvidenceOptions,ModelExplanationResult,tests/test_evidence_first_framework.py,release_evidence/framework_completion/object_85_user.md,claim-grounded,evidence_dashboard,release_evidence/chapter4_explanation_experience,PASS
framework.similar_cases,"chapter 4, similar-case evidence",fuzzyxai.evidence.similarity:find_similar_tabular_cases,QueryAndReferenceObjects,SimilarCaseEvidenceList,tests/test_evidence_first_framework.py,release_evidence/framework_completion/object_85_user.md,claim-grounded,similar_cases,release_evidence/chapter4_explanation_experience,PASS
framework.counterfactual,"chapter 4, counterfactual evidence",fuzzyxai.evidence.counterfactual:find_tabular_counterfactuals,ModelAdapterQueryAndReference,CounterfactualEvidenceList,tests/test_evidence_first_framework.py,release_evidence/framework_completion/object_85_restoration_report.json,claim-grounded,counterfactual_comparison,release_evidence/chapter4_explanation_experience,PASS
framework.explanation_graph,"chapter 4, explanation composition and traceability",fuzzyxai.evidence.graph:build_explanation_graph,ExplanationEvidencePredictionDiagnosticsAction,ExplanationGraph,tests/test_evidence_first_framework.py,release_evidence/framework_completion/object_85_user.md,claim-grounded,explanation_graph,release_evidence/chapter4_explanation_experience,PASS
framework.human_explanation,"chapter 4, Human Explanation Layer",fuzzyxai.evidence.human:compose_human_explanation,ExplanationEvidenceAndGraph,HumanExplanation,tests/test_human_explanation_layer.py; tests/test_explanation_experience.py,release_evidence/explanation_experience/object_85_human_explanation.json; release_evidence/explanation_experience/medical_research_human_explanation.json,claim-grounded,human_explanation_cards,release_evidence/chapter4_explanation_experience,PASS
framework.explanation_quality,"chapter 4, explanation quality metrics",fuzzyxai.evidence.metrics:evaluate_explanation_quality,ExplanationEvidenceAndGraph,ExplanationQualityMetrics,tests/test_evidence_first_framework.py,release_evidence/framework_completion/object_85_restoration_report.json,claim-grounded,quality_metrics,release_evidence/chapter4_explanation_experience,PASS
framework.action,"chapter 4, evidence-to-action boundary",fuzzyxai.core.risk_observer:compute_action,RiskAndCriticalRupture,Action,tests/test_evidence_first_framework.py,release_evidence/framework_completion/object_85_user.md,claim-grounded,trust_action_panel,release_evidence/chapter4_explanation_experience,PASS
