module_id,name,evidence_level,status,source_repo,claim_scope,adapter_class,gui_visible,artifact_present,local_fixture_present,report_present,figure_present
hybrid_xiris,HYBRID-XIRIS biometric pipeline,repository-output-level,real-output-compatible,https://github.com/lebedeffson/hybrid-xiris-biometric,"adapter compatibility and evidence routing, not local model retraining",medical_image_to_explanation,True,True,False,True,True
gd_anfis_shap,GD-ANFIS / SHAP scenario,source-pending,source-pending,source-not-provided:gd_anfis_shap,executable fixture adapter; excluded from quantitative claims until source repository is pinned,gd_anfis_shap,True,False,True,True,True
anza_lira,ANZA-LIRA vessel segmentation,repository-output-level,fixture-certified,https://github.com/fims9000/anza_lira,"vessel-segmentation adapter route and report generation, not local model retraining",medical_image_to_explanation,True,True,False,True,True
beacon_xai,BEACON-XAI scenario,source-pending,source-pending,source-not-provided:beacon_xai,"source-pending planned scenario; adapter_called=false, action=not_run, quantitative_claims=false",planned,True,False,False,True,True
gis_integro,GIS INTEGRO scenario,source-pending,source-pending,source-not-provided:gis_integro,"source-pending planned scenario; adapter_called=false, action=not_run, quantitative_claims=false",planned,True,False,False,True,True
deep_neuro_fuzzy_kafn,Deep Neuro-Fuzzy / Routed KAFN,repository-output-level,fixture-certified,https://github.com/lebedeffson/deep-neuro-fuzzy,fixed fixture adapter run with source provenance,tabular_to_explanation,True,True,False,True,True
fan_multimodal,Fuzzy Attention Networks,fixture-level,fixture-certified,https://github.com/lebedeffson/FuzzyAttentionNetworks,concept-level fuzzy attention scenario,tabular_to_explanation,True,True,False,True,True
kan_xai_2_system,KAN-XAI 2.0 System,repository-output-level,fixture-certified,https://github.com/fims9000/KAN-XAI-2.0-System,"medical image explanation adapter route, not local model retraining",medical_image_to_explanation,True,True,False,True,True
trust_ade,Trust-ADE,repository-output-level,fixture-certified,https://github.com/fims9000/Trust-ADE,trust-assessment report route and observer compatibility,trust_report_to_observer,True,True,False,True,True
synt_isic_timeshap,SYNT-ISIC / Time-SHAP,repository-output-level,fixture-certified,https://github.com/fims9000/SYNT_ISIC,"temporal explanation route and report generation, not local dermatology validation",temporal_xai_to_explanation,True,True,False,True,True
eaar_regularization,EAAR attribution regularization,planned,planned,https://github.com/lebedeffson/eaar-regularization,"registered future adapter, excluded from quantitative claims",planned,True,False,False,True,True
neutron_shap_reconstruction,Bonner SHAP reconstruction,planned,planned,https://github.com/lebedeffson/bonner-shap-reconstruction,"registered future adapter, excluded from quantitative claims",planned,True,False,False,True,True
