case_id,template_id,template_hash,pipeline_family,modality,split,stratum,gold_status,repairable,method,predicted_cut,predicted_cost,runtime_ms,optimal_set_membership,raw_cost_regret,normalized_cost_regret,obligation_coverage,false_certification,full_recertification_success,recertification_status,remaining_critical_issues,new_critical_issues,remaining_critical_issue_count,new_critical_violation_count,all_required_postconditions_verified,completed_steps,failed_steps,plan_cost,before_trace_sha256,after_trace_sha256,graph_changed
sealed:image-quality:S2:413997292:case:000,sealed:image-quality:S2:413997292,e388cb9083dd0a4b8276072c1e73ec516b5729f50e81fbca3e05bbc645e673f7,image-quality,image,sealed,S2,CERTIFIED_UNIQUE,True,schema_only,[],0,0.9669809987826739,False,,2.0,0.0,False,False,no_change,"('issue:sealed:image-quality:S2:413997292:obligation-0', 'issue:sealed:image-quality:S2:413997292:obligation-1', 'issue:sealed:image-quality:S2:413997292:obligation-2', 'issue:sealed:image-quality:S2:413997292:obligation-3')",(),4,0,True,0,0,0,84f949016812cbeeb364df04c1f9aba77fc681c89ae0ace69b9a461fae2e108f,84f949016812cbeeb364df04c1f9aba77fc681c89ae0ace69b9a461fae2e108f,False
sealed:image-quality:S2:413997292:case:000,sealed:image-quality:S2:413997292,e388cb9083dd0a4b8276072c1e73ec516b5729f50e81fbca3e05bbc645e673f7,image-quality,image,sealed,S2,CERTIFIED_UNIQUE,True,simple_or,"[""contract:sealed:image-quality:S2:413997292:obligation-0/field:registered_state_0/violation:contract_mismatch"", ""contract:sealed:image-quality:S2:413997292:obligation-1/field:registered_state_1/violation:contract_mismatch"", ""contract:sealed:image-quality:S2:413997292:obligation-2/field:registered_state_2/violation:contract_mismatch"", ""contract:sealed:image-quality:S2:413997292:obligation-3/field:registered_state_3/violation:contract_mismatch"", ""node:node-09c38f5bad27/field:registered_state_2/violation:contract_mismatch"", ""node:node-23dcc44ff81f/field:registered_state_3/violation:contract_mismatch"", ""node:node-4e583d7a0bc3/field:_/violation:source_component"", ""node:node-4e583d7a0bc3/field:registered_state_0/violation:contract_mismatch"", ""node:node-898eaf426c48/field:registered_state_1/violation:contract_mismatch"", ""node:node-b8a1d21743e4/field:registered_state_0/violation:contract_mismatch"", ""node:node-bfa8644e6b0c/field:_/violation:source_component"", ""node:node-bfa8644e6b0c/field:registered_state_1/violation:contract_mismatch"", ""node:node-e4af8f21416c/field:_/violation:source_component"", ""node:node-e4af8f21416c/field:registered_state_3/violation:contract_mismatch"", ""node:node-f41f34f855ae/field:_/violation:source_component"", ""node:node-f41f34f855ae/field:registered_state_2/violation:contract_mismatch""]",604.6024,0.8897050011000829,False,600.0,130.36676516600036,1.0,False,True,full_success,(),(),0,0,True,4,0,25.0,84f949016812cbeeb364df04c1f9aba77fc681c89ae0ace69b9a461fae2e108f,52ffa1f9fdef592b4b1c2140b25a40749cbda687686234db6632747028bd1ef3,True
sealed:image-quality:S2:413997292:case:000,sealed:image-quality:S2:413997292,e388cb9083dd0a4b8276072c1e73ec516b5729f50e81fbca3e05bbc645e673f7,image-quality,image,sealed,S2,CERTIFIED_UNIQUE,True,independent_if_else,"[""node:node-4e583d7a0bc3/field:_/violation:source_component"", ""node:node-bfa8644e6b0c/field:_/violation:source_component"", ""node:node-e4af8f21416c/field:_/violation:source_component"", ""node:node-f41f34f855ae/field:_/violation:source_component""]",4.602399999999999,0.8525739995093318,True,0.0,0.0,1.0,False,True,full_success,(),(),0,0,True,4,0,25.0,84f949016812cbeeb364df04c1f9aba77fc681c89ae0ace69b9a461fae2e108f,52ffa1f9fdef592b4b1c2140b25a40749cbda687686234db6632747028bd1ef3,True
sealed:image-quality:S2:413997292:case:000,sealed:image-quality:S2:413997292,e388cb9083dd0a4b8276072c1e73ec516b5729f50e81fbca3e05bbc645e673f7,image-quality,image,sealed,S2,CERTIFIED_UNIQUE,True,untyped_graph,"[""node:node-4e583d7a0bc3/field:_/violation:source_component"", ""node:node-bfa8644e6b0c/field:_/violation:source_component"", ""node:node-e4af8f21416c/field:_/violation:source_component"", ""node:node-f41f34f855ae/field:_/violation:source_component""]",4.602399999999999,0.8699179998075124,True,0.0,0.0,1.0,False,True,full_success,(),(),0,0,True,4,0,25.0,84f949016812cbeeb364df04c1f9aba77fc681c89ae0ace69b9a461fae2e108f,52ffa1f9fdef592b4b1c2140b25a40749cbda687686234db6632747028bd1ef3,True
sealed:image-quality:S2:413997292:case:000,sealed:image-quality:S2:413997292,e388cb9083dd0a4b8276072c1e73ec516b5729f50e81fbca3e05bbc645e673f7,image-quality,image,sealed,S2,CERTIFIED_UNIQUE,True,typed_without_optimization,"[""node:node-4e583d7a0bc3/field:_/violation:source_component"", ""node:node-bfa8644e6b0c/field:_/violation:source_component"", ""node:node-e4af8f21416c/field:_/violation:source_component"", ""node:node-f41f34f855ae/field:_/violation:source_component""]",4.602399999999999,0.8416740001848666,True,0.0,0.0,1.0,False,True,full_success,(),(),0,0,True,4,0,25.0,84f949016812cbeeb364df04c1f9aba77fc681c89ae0ace69b9a461fae2e108f,52ffa1f9fdef592b4b1c2140b25a40749cbda687686234db6632747028bd1ef3,True
sealed:image-quality:S2:413997292:case:000,sealed:image-quality:S2:413997292,e388cb9083dd0a4b8276072c1e73ec516b5729f50e81fbca3e05bbc645e673f7,image-quality,image,sealed,S2,CERTIFIED_UNIQUE,True,greedy_cover,"[""node:node-4e583d7a0bc3/field:_/violation:source_component"", ""node:node-bfa8644e6b0c/field:_/violation:source_component"", ""node:node-e4af8f21416c/field:_/violation:source_component"", ""node:node-f41f34f855ae/field:_/violation:source_component""]",4.602399999999999,0.8502900000166846,True,0.0,0.0,1.0,False,True,full_success,(),(),0,0,True,4,0,25.0,84f949016812cbeeb364df04c1f9aba77fc681c89ae0ace69b9a461fae2e108f,52ffa1f9fdef592b4b1c2140b25a40749cbda687686234db6632747028bd1ef3,True
sealed:image-quality:S2:413997292:case:000,sealed:image-quality:S2:413997292,e388cb9083dd0a4b8276072c1e73ec516b5729f50e81fbca3e05bbc645e673f7,image-quality,image,sealed,S2,CERTIFIED_UNIQUE,True,weighted_greedy,"[""node:node-4e583d7a0bc3/field:_/violation:source_component"", ""node:node-bfa8644e6b0c/field:_/violation:source_component"", ""node:node-e4af8f21416c/field:_/violation:source_component"", ""node:node-f41f34f855ae/field:_/violation:source_component""]",4.602399999999999,1.025161000143271,True,0.0,0.0,1.0,False,True,full_success,(),(),0,0,True,4,0,25.0,84f949016812cbeeb364df04c1f9aba77fc681c89ae0ace69b9a461fae2e108f,52ffa1f9fdef592b4b1c2140b25a40749cbda687686234db6632747028bd1ef3,True
sealed:image-quality:S2:413997292:case:000,sealed:image-quality:S2:413997292,e388cb9083dd0a4b8276072c1e73ec516b5729f50e81fbca3e05bbc645e673f7,image-quality,image,sealed,S2,CERTIFIED_UNIQUE,True,full_h10,"[""node:node-4e583d7a0bc3/field:_/violation:source_component"", ""node:node-bfa8644e6b0c/field:_/violation:source_component"", ""node:node-e4af8f21416c/field:_/violation:source_component"", ""node:node-f41f34f855ae/field:_/violation:source_component""]",4.602399999999999,0.7274870004039258,True,0.0,0.0,1.0,False,True,full_success,(),(),0,0,True,4,0,25.0,84f949016812cbeeb364df04c1f9aba77fc681c89ae0ace69b9a461fae2e108f,52ffa1f9fdef592b4b1c2140b25a40749cbda687686234db6632747028bd1ef3,True
sealed:text-news:S5:471807561:case:000,sealed:text-news:S5:471807561,6fa9538807979e7751a47587c94a7de3d98b87e597e74abf0f7eac23c1aab10a,text-news,text,sealed,S5,CERTIFIED_UNIQUE,True,schema_only,[],0,1.2321030008024536,False,,2.0,0.0,False,False,no_change,"('issue:sealed:text-news:S5:471807561:obligation-0', 'issue:sealed:text-news:S5:471807561:obligation-1', 'issue:sealed:text-news:S5:471807561:obligation-2', 'issue:sealed:text-news:S5:471807561:obligation-3', 'issue:sealed:text-news:S5:471807561:obligation-4')",(),5,0,True,0,0,0,2c6c63481c0996a9599a1188a7d93dfec102dffd31355573b78a4b7c748a827d,2c6c63481c0996a9599a1188a7d93dfec102dffd31355573b78a4b7c748a827d,False
sealed:text-news:S5:471807561:case:000,sealed:text-news:S5:471807561,6fa9538807979e7751a47587c94a7de3d98b87e597e74abf0f7eac23c1aab10a,text-news,text,sealed,S5,CERTIFIED_UNIQUE,True,simple_or,"[""contract:sealed:text-news:S5:471807561:obligation-0/field:registered_state_0/violation:contract_mismatch"", ""contract:sealed:text-news:S5:471807561:obligation-1/field:registered_state_1/violation:contract_mismatch"", ""contract:sealed:text-news:S5:471807561:obligation-2/field:registered_state_2/violation:contract_mismatch"", ""contract:sealed:text-news:S5:471807561:obligation-3/field:registered_state_3/violation:contract_mismatch"", ""contract:sealed:text-news:S5:471807561:obligation-4/field:registered_state_4/violation:contract_mismatch"", ""edge:edge-a0419acfcfa5/field:registered_state_4/violation:contract_mismatch"", ""node:node-267eb2737c77/field:_/violation:source_component"", ""node:node-267eb2737c77/field:registered_state_4/violation:contract_mismatch"", ""node:node-29f1e287c7a7/field:_/violation:source_component"", ""node:node-29f1e287c7a7/field:registered_state_2/violation:contract_mismatch"", ""node:node-29f1e287c7a7/field:registered_state_3/violation:contract_mismatch"", ""node:node-3d96cdde0589/field:registered_state_4/violation:contract_mismatch"", ""node:node-3e8ceae92476/field:_/violation:source_component"", ""node:node-3e8ceae92476/field:registered_state_0/violation:contract_mismatch"", ""node:node-3e8ceae92476/field:registered_state_1/violation:contract_mismatch"", ""node:node-64bfe4121aee/field:registered_state_0/violation:contract_mismatch"", ""node:node-7a060ade9bb1/field:_/violation:source_component"", ""node:node-7a060ade9bb1/field:registered_state_0/violation:contract_mismatch"", ""node:node-7a060ade9bb1/field:registered_state_2/violation:contract_mismatch"", ""node:node-7a060ade9bb1/field:registered_state_3/violation:contract_mismatch"", ""node:node-839470ca0a27/field:registered_state_1/violation:contract_mismatch"", ""node:node-98f0ba0c09a4/field:registered_state_2/violation:contract_mismatch"", ""node:node-d34f9760dcde/field:_/violation:source_component"", ""node:node-d34f9760dcde/field:registered_state_1/violation:contract_mismatch"", ""node:node-d9a455bff151/field:registered_state_3/violation:contract_mismatch"", ""node:node-d9a455bff151/field:registered_state_4/violation:contract_mismatch""]",1060.462,1.0861770006158622,False,1054.5648,178.82466255171946,1.0,False,True,full_success,(),(),0,0,True,5,0,26.0,2c6c63481c0996a9599a1188a7d93dfec102dffd31355573b78a4b7c748a827d,f9cf7fecbc43d29b80445e7a1a5bed8717bcc46649ccb64292063b504b5d8ba2,True
sealed:text-news:S5:471807561:case:000,sealed:text-news:S5:471807561,6fa9538807979e7751a47587c94a7de3d98b87e597e74abf0f7eac23c1aab10a,text-news,text,sealed,S5,CERTIFIED_UNIQUE,True,independent_if_else,"[""node:node-267eb2737c77/field:_/violation:source_component"", ""node:node-29f1e287c7a7/field:_/violation:source_component"", ""node:node-3e8ceae92476/field:_/violation:source_component""]",5.8972,1.3175649983168114,True,0.0,0.0,1.0,False,True,full_success,(),(),0,0,True,3,0,17.0,2c6c63481c0996a9599a1188a7d93dfec102dffd31355573b78a4b7c748a827d,1c6a866e04efe03c9b4135c2728fc900ba2b807da76393ef6d3f5a669b4c95d9,True
sealed:text-news:S5:471807561:case:000,sealed:text-news:S5:471807561,6fa9538807979e7751a47587c94a7de3d98b87e597e74abf0f7eac23c1aab10a,text-news,text,sealed,S5,CERTIFIED_UNIQUE,True,untyped_graph,"[""node:node-267eb2737c77/field:_/violation:source_component"", ""node:node-3e8ceae92476/field:_/violation:source_component"", ""node:node-7a060ade9bb1/field:_/violation:source_component""]",6.3972,1.3234250000095926,False,0.5,0.0847860001356576,1.0,False,False,partial_success,"('issue:sealed:text-news:S5:471807561:obligation-1',)",(),1,0,False,2,1,10.0,2c6c63481c0996a9599a1188a7d93dfec102dffd31355573b78a4b7c748a827d,793acbb047a2483f67a4afe09881bf3aa4ebf2d0e1577326841e0d0cab8fd7ae,True
