case_id,modality,expected_violation,route_status,violation_detected,expected_positive,source_localized,false_certification,canonical_hash_equality,recertification_success,interpretability_scope
mm-tabular-0100,tabular,extractor_checksum,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0101,tabular,model_version,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0102,tabular,sample_identity,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0103,tabular,unknown_relation,insufficient_evidence,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0104,tabular,extractor_checksum,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0105,tabular,model_version,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0106,tabular,sample_identity,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0107,tabular,unknown_relation,insufficient_evidence,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0108,tabular,extractor_checksum,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0109,tabular,model_version,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0110,tabular,sample_identity,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0111,tabular,unknown_relation,insufficient_evidence,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0112,tabular,extractor_checksum,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0113,tabular,model_version,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0114,tabular,sample_identity,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0115,tabular,unknown_relation,insufficient_evidence,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0116,tabular,extractor_checksum,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0117,tabular,model_version,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0118,tabular,sample_identity,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0119,tabular,unknown_relation,insufficient_evidence,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0120,tabular,extractor_checksum,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0121,tabular,model_version,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0122,tabular,sample_identity,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0123,tabular,unknown_relation,insufficient_evidence,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0124,tabular,extractor_checksum,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0125,tabular,model_version,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0126,tabular,sample_identity,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0127,tabular,unknown_relation,insufficient_evidence,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0128,tabular,extractor_checksum,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0129,tabular,model_version,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0130,tabular,sample_identity,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0131,tabular,unknown_relation,insufficient_evidence,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0132,tabular,extractor_checksum,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0133,tabular,model_version,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0134,tabular,sample_identity,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0135,tabular,unknown_relation,insufficient_evidence,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0136,tabular,extractor_checksum,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0137,tabular,model_version,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0138,tabular,sample_identity,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0139,tabular,unknown_relation,insufficient_evidence,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0140,tabular,extractor_checksum,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0141,tabular,model_version,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0142,tabular,sample_identity,invalid,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0143,tabular,unknown_relation,insufficient_evidence,True,True,True,False,True,True,extracted_feature_space_only
mm-tabular-0144,tabular,extractor_checksum,invalid,True,True,True,False,True,True,extracted_feature_space_only
