case_id,pipeline_id,modality,split,case_type,severity,unknown,insufficient_evidence,method,predicted_status,source_precision,source_recall,source_f1,source_jaccard,repair_precision,repair_recall,repair_f1,repair_jaccard,cut_precision,cut_recall,cut_f1,cut_jaccard,cut_exact,cut_cost_regret,repair_cost_regret,extra_repair_actions,recertified,false_certification,false_block,abstained,false_concrete_unknown,runtime_ms,trace
tabular_tree_a-development-0000,tabular_tree_a,tabular,development,composite,subtle,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,0.0,0,False,0.0,0.0,False,0.0,0.06833000043116044,
tabular_tree_a-development-0000,tabular_tree_a,tabular,development,composite,subtle,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,0.0,0,False,0.0,0.0,False,0.0,0.08884799990482861,
tabular_tree_a-development-0000,tabular_tree_a,tabular,development,composite,subtle,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.3138960000796942,81a01292d37126c640ab9b82c771e64625a981deb67326fdc16d2eab73120c23
tabular_tree_a-development-0001,tabular_tree_a,tabular,development,unknown_ambiguous,moderate,True,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.0,19.0,0.0,0,False,0.0,0.0,False,1.0,0.034885999866673956,
tabular_tree_a-development-0001,tabular_tree_a,tabular,development,unknown_ambiguous,moderate,True,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.0,19.0,0.0,0,False,0.0,0.0,False,1.0,0.0579299999117211,
tabular_tree_a-development-0001,tabular_tree_a,tabular,development,unknown_ambiguous,moderate,True,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.0,19.0,0.0,0,True,0.0,0.0,False,1.0,0.20041000016135513,bab7d4144f8f3166e72543b678b71d7ed45d8ceb333066e9d3a1a1a64a14e72e
tabular_tree_a-development-0002,tabular_tree_a,tabular,development,unknown_ambiguous,severe,True,True,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.0,19.0,0.0,0,False,0.0,0.0,False,1.0,0.02850400005627307,
tabular_tree_a-development-0002,tabular_tree_a,tabular,development,unknown_ambiguous,severe,True,True,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.0,19.0,0.0,0,False,0.0,0.0,False,1.0,0.02844399978130241,
tabular_tree_a-development-0002,tabular_tree_a,tabular,development,unknown_ambiguous,severe,True,True,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.0,19.0,0.0,0,True,0.0,0.0,False,1.0,0.1756330002535833,9cf97eb79570ed3eb67bc464a1ce120704bf38c78de1d3e3444b05cf9d90c14f
tabular_tree_a-development-0003,tabular_tree_a,tabular,development,single,subtle,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.033893999898282345,
tabular_tree_a-development-0003,tabular_tree_a,tabular,development,single,subtle,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.09092199979932047,
tabular_tree_a-development-0003,tabular_tree_a,tabular,development,single,subtle,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.2887979999286472,8bcf052ec369bc05824838486683e8630c747567a1c9e1eee4eeae414845757b
tabular_tree_a-development-0004,tabular_tree_a,tabular,development,clean,none,False,False,independent_if_else,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.030287000299722422,
tabular_tree_a-development-0004,tabular_tree_a,tabular,development,clean,none,False,False,typed_route_without_cut,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.029285999971762067,
tabular_tree_a-development-0004,tabular_tree_a,tabular,development,clean,none,False,False,full_h10,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.04024700001536985,191cea26618acd3fcf8a23cd6e998d18cbf7c5df1ac76875a3936b34ec152e5d
tabular_tree_a-development-0005,tabular_tree_a,tabular,development,clean,none,False,False,independent_if_else,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.030888999845046783,
tabular_tree_a-development-0005,tabular_tree_a,tabular,development,clean,none,False,False,typed_route_without_cut,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.02977600024678395,
tabular_tree_a-development-0005,tabular_tree_a,tabular,development,clean,none,False,False,full_h10,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.04260100013198098,caa282cd1fb51e049913dc35dcecf1c6a367567b41be57c199a81d1f55ef7811
tabular_tree_a-development-0006,tabular_tree_a,tabular,development,composite,subtle,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.050054999974236125,
tabular_tree_a-development-0006,tabular_tree_a,tabular,development,composite,subtle,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.11292399994999869,
tabular_tree_a-development-0006,tabular_tree_a,tabular,development,composite,subtle,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.32601899965811754,b599edc6db16d0af854a0e33fd8495f71869dcf44a0d7054e268db2760f98890
tabular_tree_a-development-0007,tabular_tree_a,tabular,development,single,moderate,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.040406999687547795,
tabular_tree_a-development-0007,tabular_tree_a,tabular,development,single,moderate,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.07533300004070043,
tabular_tree_a-development-0007,tabular_tree_a,tabular,development,single,moderate,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.25993300005211495,01617bc1e874652a70cc63c770b4d34c5c60033af438ffd46f183b95a921ec2b
