run_id,pipeline_id,repository_commit,case_id,mode_id,pipeline_status,detected,stage,contract_id,component_id,root_cause,dependent_violations,evidence_refs,diagnostic_cut,action,repair_plan,repair_executed,target_contract_repaired,recertified,contracts_checked,new_critical_violations,rollback_verified,reported_symptom_count,proposed_repair_count,redundant_repair_count,evidence_completeness,runtime_breakdown_ms,peak_rss_kb,artifact_bytes,canonical_sha256,expected_invalid,expected_stage,expected_contract,expected_root_cause,expected_action,fault_category,repairable,detected_correct,stage_correct,contract_correct,component_correct,root_cause_correct,action_correct,false_certification,false_blocking
external:db8fb0cf37bf193e031d,ext1-sklearn-column-transformer,5799d3eac08bda44fbce3309e641cbf98c5d312a,C1_BASELINE,B_LOCAL_STRONG,VALID,False,,,,,[],[],null,ACCEPT,null,False,False,False,0,0,False,0,0,0,1.0,"{""audit"": 0.7962890003909706, ""diagnostic_cut"": 0.0, ""graph_build"": 0.6327690007310594, ""recertification"": 0.0, ""repair_planning"": 0.0, ""total"": 1.42905800112203}",392868,13965,bc7246dcf2a7ef9770a60b446df603f0d8a092fcb78b63b0f9bfaa7564559c5d,False,,,,ACCEPT,CONTROL,False,True,True,True,True,True,True,False,False
external:c38f6a6d9a72c4733ba7,ext1-sklearn-column-transformer,5799d3eac08bda44fbce3309e641cbf98c5d312a,C1_BASELINE,B_PAIRWISE_RULES,VALID,False,,,,,[],[],null,ACCEPT,null,False,False,False,0,0,False,0,0,0,1.0,"{""audit"": 0.6731419998686761, ""diagnostic_cut"": 0.0, ""graph_build"": 0.5543049992411397, ""recertification"": 0.0, ""repair_planning"": 0.0, ""total"": 1.2274469991098158}",392868,13965,e2766e2df83d4d27a57c13308558e70e382024a4a25c0cc79d7b2a2ee8e5f386,False,,,,ACCEPT,CONTROL,False,True,True,True,True,True,True,False,False
external:3214f2441ae9a9141152,ext1-sklearn-column-transformer,5799d3eac08bda44fbce3309e641cbf98c5d312a,C1_BASELINE,B_MLFLOW_QUERY,VALID,False,,,,,[],[],null,ACCEPT,null,False,False,False,0,0,False,0,0,0,1.0,"{""audit"": 0.649599000098533, ""diagnostic_cut"": 0.0, ""graph_build"": 0.5462310000439174, ""recertification"": 0.0, ""repair_planning"": 0.0, ""total"": 1.1958300001424504}",392868,13965,958ce0e6093fe649dfc5cb98d8eeb666f6255ed873a322483223f7d1ed66ea89,False,,,,ACCEPT,CONTROL,False,True,True,True,True,True,True,False,False
external:e22c96320b96413a60e8,ext1-sklearn-column-transformer,5799d3eac08bda44fbce3309e641cbf98c5d312a,C1_BASELINE,B_GREEDY_CROSS_STAGE,VALID,False,,,,,[],[],null,ACCEPT,null,False,False,False,0,0,False,0,0,0,1.0,"{""audit"": 0.6866479998279829, ""diagnostic_cut"": 0.0, ""graph_build"": 0.5495969999174122, ""recertification"": 0.0, ""repair_planning"": 0.0, ""total"": 1.236244999745395}",392868,13965,250058ede7e31db3a539692fd6ae65fbd2a98cf193a4349bbb349be8c6a4b03a,False,,,,ACCEPT,CONTROL,False,True,True,True,True,True,True,False,False
external:dc1618697de2fa59f056,ext1-sklearn-column-transformer,5799d3eac08bda44fbce3309e641cbf98c5d312a,C1_BASELINE,O_FUZZYXAI,VALID,False,,,,,[],[],null,ACCEPT,null,False,False,False,0,0,False,0,0,0,1.0,"{""audit"": 0.6920679998074775, ""diagnostic_cut"": 0.0, ""graph_build"": 0.5482639999172534, ""recertification"": 0.0, ""repair_planning"": 0.0, ""total"": 1.2403319997247308}",392996,13965,675f04b980d788e0ec3354787915c7c55c46f8a14973064b52a50a1b7faa62c8,False,,,,ACCEPT,CONTROL,False,True,True,True,True,True,True,False,False
external:b7ef7eab8ea509b1fcfd,ext1-sklearn-column-transformer,5799d3eac08bda44fbce3309e641cbf98c5d312a,C2_CONSISTENT_RETRAIN,B_LOCAL_STRONG,VALID,False,,,,,[],[],null,ACCEPT,null,False,False,False,0,0,False,0,0,0,1.0,"{""audit"": 0.6608499998037587, ""diagnostic_cut"": 0.0, ""graph_build"": 0.5449179998322506, ""recertification"": 0.0, ""repair_planning"": 0.0, ""total"": 1.2057679996360093}",392996,13974,55adb14561d58b40fb45d4405b344d15d871177349bedad83d2f90a42457ace6,False,,,,ACCEPT,CONTROL,False,True,True,True,True,True,True,False,False
external:9286e3edcf444d655f14,ext1-sklearn-column-transformer,5799d3eac08bda44fbce3309e641cbf98c5d312a,C2_CONSISTENT_RETRAIN,B_PAIRWISE_RULES,VALID,False,,,,,[],[],null,ACCEPT,null,False,False,False,0,0,False,0,0,0,1.0,"{""audit"": 0.6854359999124426, ""diagnostic_cut"": 0.0, ""graph_build"": 0.5342280001059407, ""recertification"": 0.0, ""repair_planning"": 0.0, ""total"": 1.2196640000183834}",392996,13974,b1a6420ec70a195cccdee1acb7a8cc926048994f5b9e1516ceee74529bead419,False,,,,ACCEPT,CONTROL,False,True,True,True,True,True,True,False,False
external:756f7c19d7a34e39f6f9,ext1-sklearn-column-transformer,5799d3eac08bda44fbce3309e641cbf98c5d312a,C2_CONSISTENT_RETRAIN,B_MLFLOW_QUERY,VALID,False,,,,,[],[],null,ACCEPT,null,False,False,False,0,0,False,0,0,0,1.0,"{""audit"": 0.6560620004165685, ""diagnostic_cut"": 0.0, ""graph_build"": 0.5511899998964509, ""recertification"": 0.0, ""repair_planning"": 0.0, ""total"": 1.2072520003130194}",392996,13974,43919bc4e6eebbb29b20dc22afcf4024ddf5c32f218ed6f9b1f8bff643c39d90,False,,,,ACCEPT,CONTROL,False,True,True,True,True,True,True,False,False
external:dedf84b01514ca4186cb,ext1-sklearn-column-transformer,5799d3eac08bda44fbce3309e641cbf98c5d312a,C2_CONSISTENT_RETRAIN,B_GREEDY_CROSS_STAGE,VALID,False,,,,,[],[],null,ACCEPT,null,False,False,False,0,0,False,0,0,0,1.0,"{""audit"": 0.6588969999938854, ""diagnostic_cut"": 0.0, ""graph_build"": 0.5460900001708069, ""recertification"": 0.0, ""repair_planning"": 0.0, ""total"": 1.2049870001646923}",392996,13974,f421757d9f4e9d0093a8b3f33107debfb330974b909ed0865a05fdef02e77d1d,False,,,,ACCEPT,CONTROL,False,True,True,True,True,True,True,False,False
external:26c521f8c1f894a04cf3,ext1-sklearn-column-transformer,5799d3eac08bda44fbce3309e641cbf98c5d312a,C2_CONSISTENT_RETRAIN,O_FUZZYXAI,VALID,False,,,,,[],[],null,ACCEPT,null,False,False,False,0,0,False,0,0,0,1.0,"{""audit"": 0.6666809995294898, ""diagnostic_cut"": 0.0, ""graph_build"": 0.5320350001056795, ""recertification"": 0.0, ""repair_planning"": 0.0, ""total"": 1.1987159996351693}",392996,13974,9eab4b631b52ecb7761d8f320313bfac063941dbab5513be0f0edc5670c112b3,False,,,,ACCEPT,CONTROL,False,True,True,True,True,True,True,False,False
external:5f3a5931117d483a64f1,ext1-sklearn-column-transformer,5799d3eac08bda44fbce3309e641cbf98c5d312a,E1_TARGET_LEAKAGE,B_LOCAL_STRONG,INVALID,True,DATA_PREPARATION,TARGET_NOT_IN_FEATURES,external.data_preparation.target_not_in_features,,[],"[""dataset_manifest.json""]",null,BLOCK,null,False,False,False,0,0,False,1,0,0,1.0,"{""audit"": 0.678461999996216, ""diagnostic_cut"": 0.0, ""graph_build"": 0.5468120007208199, ""recertification"": 0.0, ""repair_planning"": 0.0, ""total"": 1.225274000717036}",392996,13965,0cf8a626654adb9008107a26cf15efd3ee5bb539ed0c47131a1004256eb52453,True,DATA_PREPARATION,TARGET_NOT_IN_FEATURES,TARGET_NOT_IN_FEATURES,BLOCK,LOCAL,False,True,True,True,True,False,True,False,False
