paragraph_index,matched_text,context,F_H_in_F_core,F_H_in_protected_positions,F_H_in_main_experiment,optional_appendix_note
50,hesitant,"Семейство классов нечётких представлений в данной главе задаётся рабочим ядром F_core={F0,F_int,NAS,F_ML}. Класс hesitant-представления не выносится в отдельное защищаемое положение: он сохраняется как вспомогательный механизм для случаев экспертных или модельных альтернатив и используется только там, где профиль ситуации прямо требует хранения множества оценок.",0,0,0,0
50,Hesitant,"Семейство классов нечётких представлений в данной главе задаётся рабочим ядром F_core={F0,F_int,NAS,F_ML}. Класс hesitant-представления не выносится в отдельное защищаемое положение: он сохраняется как вспомогательный механизм для случаев экспертных или модельных альтернатив и используется только там, где профиль ситуации прямо требует хранения множества оценок.",0,0,0,0
58,F_H,Hesitant-представление из класса F_H задаётся множеством возможных степеней принадлежности:,0,0,0,0
58,hesitant,Hesitant-представление из класса F_H задаётся множеством возможных степеней принадлежности:,0,0,0,0
58,Hesitant,Hesitant-представление из класса F_H задаётся множеством возможных степеней принадлежности:,0,0,0,0
80,F_H,"Из таблицы видно, что удаление любого элемента ядра меняет не название класса, а конкретную вычисляемую проверку: F_int отвечает за ширину, F_H за альтернативы, F_N^src за конфликт источников, а F_ML за объединение уровней в аудиторском маршруте. Поэтому минимальность ядра далее понимается как минимальность относительно проверок, действительно выполняемых в главе.",0,0,0,0
97,hesitant,"Эта аксиома не требует, чтобы любые два класса были сравнимы. Интервальные, hesitant и нейтрософские представления могут покрывать пересекающиеся, но разные типы неопределённости. Для таких случаев используется не линейная иерархия, а частичный порядок покрытия: класс считается более выразительным для данной ситуации лишь относительно тех типов, которые входят в профиль ситуации.",0,0,0,0
97,Hesitant,"Эта аксиома не требует, чтобы любые два класса были сравнимы. Интервальные, hesitant и нейтрософские представления могут покрывать пересекающиеся, но разные типы неопределённости. Для таких случаев используется не линейная иерархия, а частичный порядок покрытия: класс считается более выразительным для данной ситуации лишь относительно тех типов, которые входят в профиль ситуации.",0,0,0,0
99,F_H,"Для исключения трактовки иерархии как каталога далее используется ситуационный частичный порядок. Для фиксированного профиля требований P_sit положим F_a ⪯_sit F_b тогда и лишь тогда, когда Cov(F_a)∩supp(P_sit)⊆Cov(F_b)∩supp(P_sit) и переход от F_b к F_a не уменьшает ни один обязательный тип покрытия. Два класса могут быть несравнимы: например, интервальный класс лучше сохраняет ширину измерения, а hesitant-класс лучше сохраняет множество альтернативных экспертных оценок. Поэтому запись F0, F_in",0,0,0,0
99,hesitant,"Для исключения трактовки иерархии как каталога далее используется ситуационный частичный порядок. Для фиксированного профиля требований P_sit положим F_a ⪯_sit F_b тогда и лишь тогда, когда Cov(F_a)∩supp(P_sit)⊆Cov(F_b)∩supp(P_sit) и переход от F_b к F_a не уменьшает ни один обязательный тип покрытия. Два класса могут быть несравнимы: например, интервальный класс лучше сохраняет ширину измерения, а hesitant-класс лучше сохраняет множество альтернативных экспертных оценок. Поэтому запись F0, F_in",0,0,0,0
99,Hesitant,"Для исключения трактовки иерархии как каталога далее используется ситуационный частичный порядок. Для фиксированного профиля требований P_sit положим F_a ⪯_sit F_b тогда и лишь тогда, когда Cov(F_a)∩supp(P_sit)⊆Cov(F_b)∩supp(P_sit) и переход от F_b к F_a не уменьшает ни один обязательный тип покрытия. Два класса могут быть несравнимы: например, интервальный класс лучше сохраняет ширину измерения, а hesitant-класс лучше сохраняет множество альтернативных экспертных оценок. Поэтому запись F0, F_in",0,0,0,0
124,hesitant,"Такое уточнение снимает риск искусственной минимальности. Например, запись интервала как множества {a,b} является инъекцией множеств, но не сохраняет операции lower, upper и width как внутренние операции hesitant-представления. Аналогично замена множества экспертных оценок одним интервалом сохраняет границы, но теряет мощность, распределение и различимость альтернатив. Поэтому минимальность далее понимается как минимальность относительно вычислимой сигнатуры ExplainPlan, а не как запрет любых вн",0,0,0,1
124,Hesitant,"Такое уточнение снимает риск искусственной минимальности. Например, запись интервала как множества {a,b} является инъекцией множеств, но не сохраняет операции lower, upper и width как внутренние операции hesitant-представления. Аналогично замена множества экспертных оценок одним интервалом сохраняет границы, но теряет мощность, распределение и различимость альтернатив. Поэтому минимальность далее понимается как минимальность относительно вычислимой сигнатуры ExplainPlan, а не как запрет любых вн",0,0,0,1
125,F_H,"Поскольку в hesitant-классе нет внутренней операции для извлечения ширины интервала без внешнего соглашения, покрытие u_int классом F_H невозможно именно в рамках сигнатуры ExplainPlan. Это не запрещает альтернативные языки кодирования, но выводит их за пределы рассматриваемой сигнатурно-сохраняющей минимальности.",0,0,0,1
125,hesitant,"Поскольку в hesitant-классе нет внутренней операции для извлечения ширины интервала без внешнего соглашения, покрытие u_int классом F_H невозможно именно в рамках сигнатуры ExplainPlan. Это не запрещает альтернативные языки кодирования, но выводит их за пределы рассматриваемой сигнатурно-сохраняющей минимальности.",0,0,0,1
125,Hesitant,"Поскольку в hesitant-классе нет внутренней операции для извлечения ширины интервала без внешнего соглашения, покрытие u_int классом F_H невозможно именно в рамках сигнатуры ExplainPlan. Это не запрещает альтернативные языки кодирования, но выводит их за пределы рассматриваемой сигнатурно-сохраняющей минимальности.",0,0,0,1
127,hesitant,"Инъективность покрывающих отображений в этом доказательстве задаётся естественными структурными включениями. Интервал [a,b] отображается в объект F_int как упорядоченная пара границ, поэтому разные интервалы дают разные объекты. Набор экспертных оценок отображается в hesitant-объект как конечное множество или мультимножество альтернатив, что сохраняет состав оценок. Нейтрософская запись с источниками отображает каждую пару «источник-компонента» в отдельное поле F_N^src. Многоуровневое представле",0,0,0,0
127,Hesitant,"Инъективность покрывающих отображений в этом доказательстве задаётся естественными структурными включениями. Интервал [a,b] отображается в объект F_int как упорядоченная пара границ, поэтому разные интервалы дают разные объекты. Набор экспертных оценок отображается в hesitant-объект как конечное множество или мультимножество альтернатив, что сохраняет состав оценок. Нейтрософская запись с источниками отображает каждую пару «источник-компонента» в отдельное поле F_N^src. Многоуровневое представле",0,0,0,0
128,F_H,"Доказательство покрытия. Типы u_num и u_ling покрываются F0, поскольку этот класс содержит обычную функцию принадлежности и лингвистические термы. Тип u_int покрывается F_int, так как интервальная неопределённость хранится как упорядоченная пара нижней и верхней границы, а не как два несвязанных числа. Тип u_expert покрывается F_H, поскольку несколько экспертных или модельных оценок сохраняются как множество альтернатив. Типы u_non и u_conf покрываются источнико-аннотированной нейтрософской форм",0,0,0,0
130,F_H,"Докажем относительную минимальность от противного. Если удалить F_int, то u_int не покрывается оставшимися классами: F0 хранит одну степень, F_H хранит конечное множество альтернатив, а F_N^src хранит тройку поддержки, неопределённости и отвержения. Кодирование интервала как множества {a,b} не является структурно допустимым, потому что без внешнего соглашения не сохраняет ширину b-a и не отличает непрерывный интервал [a,b] от двух разных экспертных оценок. Следовательно, F_H не заменяет F_int.",0,0,0,0
131,F_H,"Если удалить F_H, то u_expert не сохраняется. Интервал может взять минимум и максимум экспертных оценок, но теряет число альтернатив, их распределение и различимость источников. Поэтому наборы {0,3;0,7} и {0,3;0,5;0,7} переходят в один и тот же диапазон, хотя задают разные ситуации расхождения. Если удалить F_N^src, то u_conf нельзя восстановить из F0, F_int или F_H, поскольку конфликт требует одновременного хранения поддержки, неопределённости, отвержения и источников свидетельств. Эти компонен",0,0,0,0
157,hesitant,Для hesitant-множества используем хаусдорфово расстояние между конечными множествами степеней принадлежности:,0,0,0,0
157,Hesitant,Для hesitant-множества используем хаусдорфово расстояние между конечными множествами степеней принадлежности:,0,0,0,0
162,hesitant,"Для hesitant-представления среднее также является лишь базовой политикой. Если альтернативные оценки принадлежат экспертам с разными весами, применяется взвешенное среднее; если задача требует консервативной оценки, выбирается экстремальная оценка, а потеря редукции вычисляется относительно полной множества альтернатив.",0,0,0,0
162,Hesitant,"Для hesitant-представления среднее также является лишь базовой политикой. Если альтернативные оценки принадлежат экспертам с разными весами, применяется взвешенное среднее; если задача требует консервативной оценки, выбирается экстремальная оценка, а потеря редукции вычисляется относительно полной множества альтернатив.",0,0,0,0
